"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0df51446-ccbe-4182-b500-5a074ef3046e","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02"
"bd0b6218-0573-4f37-b365-3c1d25a28f67","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement"
"c2538887-a5d3-413f-bb3d-5b5a0e6927f1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A"
"d7ecfdf3-b1ea-4e3e-8934-884aa91544e2","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA A","STAIR 3"
"2f0aff90-91a8-4b1e-b1ce-80b15f8b6a23","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","CLEANER CUPBOARD"
"887a0666-211a-422e-a859-ea5c25096109","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEANER CUPBOARD","Rough In (Cavity Pockets Only)"
"f61a5126-48b3-4370-80e0-3e76cc5aa727","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEANER CUPBOARD","Fit Off"
"3cf6b815-01fb-4f63-adb0-ce7a3e3e9ce5","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEANER CUPBOARD","Installation"
"de04162f-0917-46f1-8047-486569519634","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CLEANER CUPBOARD","Handover"
"7d301d61-b589-40a1-9423-428001a7a01d","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","PABX/NCS"
"eec39133-f01a-487f-92b4-91cc04d665b8","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PABX/NCS","Rough In (PMJ Only)"
"ae27ad91-1e1b-4135-9721-b7c95666b003","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PABX/NCS","Fit Off"
"07e3e428-9d4c-4a9d-9a5d-0adb6adf78a8","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PABX/NCS","Installation"
"ae2eb865-98ce-409d-ada0-c1f0e7144d73","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","PABX/NCS","Handover"
"03bb832a-274b-4c62-aa6b-3181f4a85d73","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","CHANGE ROOM 1"
"750ca7e0-0fd2-4845-a90d-f85ec399ba9f","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 1","Rough In (Cavity Pockets Only)"
"c5b7c2aa-f1f2-45a7-9878-b2c076b5294b","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 1","Fit Off"
"6ba366fe-092b-43f1-9f1b-b0dc3554f2e3","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 1","Installation"
"0f43a6a8-2842-41a0-8a1b-5c089b36fa68","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 1","Handover"
"141c4aa3-2236-4375-980a-9478a521c62d","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","CHANGE ROOM 2"
"9b37a3f5-ea02-4c5c-80cd-78d067fe4adb","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 2","Rough In (Cavity Pockets Only)"
"6d1a8c2a-2ce0-404f-bea1-caf989cc0323","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 2","Fit Off"
"3e06f09a-36c1-42db-92b9-98dd9fbd7d0c","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 2","Installation"
"6998ff0b-8985-4655-b558-27263174b872","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CHANGE ROOM 2","Handover"
"97ba58e3-fd86-45c5-8466-15410e0f6352","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","RESIDENT WORKSHOP"
"c1d4cf80-7211-406a-8c8c-4b19ef3511c1","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","RESIDENT WORKSHOP","Rough In (Cavity Pockets Only)"
"db937dce-8820-42f0-8afc-4df7ade2bc9a","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","RESIDENT WORKSHOP","Fit Off"
"04e0ce0e-34ff-4d95-b35e-d7896b7888c4","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","RESIDENT WORKSHOP","Installation"
"8df4bd77-d22b-47aa-bf5f-0621723b9375","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","RESIDENT WORKSHOP","Handover"
"6822e3d9-b6e1-4bdf-b6dc-ff1a0424a94b","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","ACCESSIBLE W/C"
"03ad35e7-4d4f-43a3-880f-8ee198d2b484","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","ACCESSIBLE W/C","Rough In (Cavity Pockets Only)"
"ea6688f4-f8fc-4929-94aa-f6dc7f95c61c","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","ACCESSIBLE W/C","Fit Off"
"71f8aea6-d70d-4a60-af73-f462be42097f","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","ACCESSIBLE W/C","Installation"
"d59eeade-b1d5-4bdd-8eef-85d860de8099","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","ACCESSIBLE W/C","Handover"
"5593b225-1f2e-48c7-8a25-75612e0211c1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SCOOTER PARKING"
"15eadfc7-f448-4aff-a47a-75e62fdab8e8","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SCOOTER PARKING","Rough In (Cavity Pockets Only)"
"6e0fc4ae-ea9c-4d40-9773-a0c5c2a53018","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SCOOTER PARKING","Fit Off"
"f8c748eb-ef84-4e6b-96d3-0ff7091344e5","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SCOOTER PARKING","Installation"
"2b1478a7-bb7a-4c86-9ca2-d0af9beebc40","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SCOOTER PARKING","Handover"
"d7f6623f-7d94-4ec3-bc8b-a68849ac6108","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","CORRIDOR ENTRY"
"297ca4f9-c8b4-4c59-800d-98d369782ae9","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CORRIDOR ENTRY","Rough In (PMJ Only)"
"42a10f6f-07ea-4013-927b-8c8df2e3ab01","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CORRIDOR ENTRY","Fit Off"
"66c60f07-ad3d-44e4-a8af-925b824f3334","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CORRIDOR ENTRY","Installation"
"df6f2927-56d8-4e53-b9e9-9605f6524e80","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","CORRIDOR ENTRY","Handover"
"0455da6a-f761-40d7-877c-f858b2ecbf69","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","STORE ROOM"
"ea1766b2-dc72-4084-ba50-494e27e6f15e","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STORE ROOM","Rough In (Cavity Pockets Only)"
"b9f6082d-ab53-4464-aeee-21507d9b0656","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STORE ROOM","Fit Off"
"f4feb60a-047f-48d4-833d-651acd269bc5","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STORE ROOM","Installation"
"2296e569-5c68-4e57-8585-da16a2a4a22c","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STORE ROOM","Handover"
"8bf89c1b-6803-4995-bb5a-fc3cdb759e85","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SMOKE LOBBY"
"f830db4c-42a8-4182-a717-52ebbe861d69","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Rough In (PMJ Only)"
"2b67836c-b9fc-41e4-a206-3f2065843d13","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Fit Off"
"c8e3e5a8-022d-4b27-bba9-11cc27e27ada","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Installation"
"c7ae1ada-5dbd-41e2-a438-80556b8a50d0","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY","Handover"
"9bc9a8fa-a99f-4d24-9495-a48cf40a60b8","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","STAIR"
"b6b64fdb-11a6-4e7e-88d7-c26df6785662","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR","Rough In (PMJ Only)"
"353d5ae6-20c7-461e-9232-07a64e43138e","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR","Fit Off"
"5d16c8d2-e7b3-45a3-a3c8-456ed97d4ffe","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR","Installation"
"2d894665-2583-43d6-9f85-5c57a46d04ed","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR","Handover"
"48f4e390-1b02-4b67-a216-31b5c9e750c1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SERVICE CUPBOARD"
"9c6c5b76-a26e-4e75-b720-c7f18337f2eb","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SERVICE CUPBOARD","Rough In (PMJ Only)"
"1e358907-7527-4fa4-a87a-e8b6c3a1ae04","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SERVICE CUPBOARD","Fit Off"
"e0954b1b-e542-484d-8d45-85dc2ba9cab8","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SERVICE CUPBOARD","Installation"
"d0cc0dd1-9170-40e0-829f-2b78bdefac05","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SERVICE CUPBOARD","Handover"
"a6bab06c-8c05-467c-9d6f-ee1ede0bedfc","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","STAFF CORRIDOR EAST"
"d7991cd2-12e6-481a-afb1-432c63d916aa","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAFF CORRIDOR EAST","Rough In (PMJ Only)"
"baad347b-43a4-41b6-81ce-67d335c370e8","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAFF CORRIDOR EAST","Fit Off"
"5af1f8d0-9596-447e-86d2-fa26c9809157","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAFF CORRIDOR EAST","Installation"
"f6e430b1-41c8-4657-84d2-f3b63608e13b","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAFF CORRIDOR EAST","Handover"
"908f3744-2aa1-4ea8-a735-330a68296e0e","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","MAIN BIN ROOM"
"b26fa907-d6dc-4376-bff4-f4bcc902ecdc","","checklist-flat","not-started","Rough In (Cavity Pockets Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAIN BIN ROOM","Rough In (Cavity Pockets Only)"
"38611168-4d61-4364-acb0-d931e8d4a5ab","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAIN BIN ROOM","Fit Off"
"34623bf7-131d-42c1-9821-a9132347dac0","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAIN BIN ROOM","Installation"
"6319b08c-c434-42ff-895e-c11a032d6d1a","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MAIN BIN ROOM","Handover"
"54c6a645-95b5-45be-8369-104d5a39c633","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","MSB"
"4ff65927-18ce-4b26-9cc5-1c6278e72b79","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MSB","Rough In (PMJ Only)"
"844ff9cb-4e80-4dad-a118-5be3d44cea62","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MSB","Fit Off"
"a52acf70-2d20-4597-bb24-288d616e46db","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MSB","Installation"
"53202298-d929-4458-821c-1dfb9f964a20","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","MSB","Handover"
"bb5f3ef2-ef5e-470e-9492-9cc1b8c7b1c1","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","NBN"
"3a51cc3a-013d-4993-849d-428c44f4a696","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","NBN","Rough In (PMJ Only)"
"4c724889-69fd-448b-ba48-15a1d4919cb8","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","NBN","Fit Off"
"0a3f4023-d7e0-493d-b8d6-d93f7118b2ac","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","NBN","Installation"
"b62a6c15-2a99-4e9f-a828-2d7573f36f89","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","NBN","Handover"
"162cd787-3107-4719-9a75-7e20ea0bdca9","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SMOKE LOBBY 2"
"05400401-e8c0-423d-92c1-d0f5733074e4","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY 2","Rough In (PMJ Only)"
"79abebe9-3275-4b18-be10-f81e023bc3a4","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY 2","Fit Off"
"f8959d15-af17-48e0-90d0-1f2c4961c484","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY 2","Installation"
"d339344e-348f-468c-a9dc-f2aff7413c2f","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SMOKE LOBBY 2","Handover"
"19997100-f254-4126-bf2e-c4f6923e66f6","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","STAIR 2"
"743ae983-1e9f-497d-aea3-dd8496a52e04","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR 2","Rough In (PMJ Only)"
"ab52a693-df77-40fc-ae6b-59da52e8af83","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR 2","Fit Off"
"92b7478e-bc5c-44ba-a8c9-cbfb113b90f5","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR 2","Installation"
"25656224-948e-4d3a-a7c6-98863884d3d6","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","STAIR 2","Handover"
"20584bbc-0d5c-49c5-b4b8-a0ddf4a58403","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","SPRINKLER & PUMP ROOM"
"907f274a-95bd-404f-a8a8-acd70d568d46","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SPRINKLER & PUMP ROOM","Rough In (PMJ Only)"
"cfc81bdf-ed22-408f-9dc2-82f9ca924cd7","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SPRINKLER & PUMP ROOM","Fit Off"
"310c73f9-3da9-431e-9687-5b857047e73a","","checklist-flat","not-started","7c5dcfbb84cc8ee6e533f46417beb5d2658ec46dd133f664d5d96c2bdd736d4b","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SPRINKLER & PUMP ROOM","Installation"
"ea3ca372-4091-434f-8104-793e8b86fab3","","checklist-flat","not-started","Handover","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","SPRINKLER & PUMP ROOM","Handover"
"145c3cf4-28b2-4e9a-87aa-c0b31e98d0a9","","folder-normal","not-started","","step","TRUE","FALSE","B02","Basement","AREA B","GENERATOR ROOM"
"c9f8bdf5-057a-4fa0-8193-e03a87427557","","checklist-flat","not-started","Rough In (PMJ Only)","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GENERATOR ROOM","Rough In (PMJ Only)"
"84166e62-b244-485b-ba6c-b2895450d776","","checklist-flat","not-started","Fit Off","checklist-flat","FALSE","FALSE","B02","Basement","AREA B","GENERATOR ROOM","Fit Off"
