"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"555936a5-dcde-4ed4-ae6c-d9d68f18feeb","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"31bd9329-fd12-450d-bb0d-8e7fe3dc4c46","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In"
"82e71c42-7bd6-40f0-a992-a0c9d34c5edc","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment"
"7d9159a6-2222-454e-8bea-73f5dc180bfb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Ground"
"4be24232-210f-4489-80a8-4f88626d9f39","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.03"
"ffcd9562-3f78-4cbc-ad66-01c931fa2222","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.04"
"7b528bd9-f364-4c12-9ed0-9dd03353954b","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.05"
"14760eb9-2e4e-4175-a03f-dfbe424e387f","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.06"
"a5c22199-160c-46eb-a955-b1419d745b32","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.07"
"a7dd12fc-78d7-4ccc-8960-8eb3af3257a8","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.08"
"968b11f4-324f-4915-b987-022962364f6f","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.09"
"48c02280-b0d3-454f-a82b-cd981bf11cd0","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","110"
"baf9eb97-2346-4d81-b6f3-84db3f11f9e4","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.11"
"90f91fc4-8573-429f-80c1-31fcf831a31a","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.12"
"cf76f860-b5db-4830-8715-3ea9ee2c5da6","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.13"
"4f2402c1-f5f1-4e54-a891-5cad51ea798c","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.14"
"d05ebc4b-3d9a-4b2f-a4fe-aeb6206fbfd1","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.15"
"b77e58d5-65f1-402b-8955-159bb00de1e9","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.16"
"4e49a797-cbea-4c38-b91a-d49b93c0792a","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.17"
"56c0d32c-8f24-41ba-9493-9d4495fa7cd5","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.18"
"a916be45-0361-423c-90ba-66854bcd1eaf","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","1.19"
"7613ab34-c168-451c-83da-f30d76d53e25","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 1","120"
"9353ccb6-51ec-4e86-a256-8242f3ee4130","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 2"
"52c1ac99-219a-4fe5-a3d4-35e9572aaefd","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.01"
"397501bd-ce44-41bf-8d88-d4e6aff52cf8","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.02"
"801ecc79-c045-4383-ad38-ee76d41012da","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.03"
"bcf94c70-036f-40da-958b-326f85680676","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.04"
"2c8fc392-d352-49ba-9ed2-e70c78aadaec","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.05"
"eea94146-7cfc-4642-92df-fb3fa62b514e","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.06"
"4dd8f82d-7f1b-4133-8e30-0c8316d70357","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.07"
"7029b46e-4731-4830-abc9-41d64cda5097","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.08"
"db58be6f-9294-431c-9408-8c04c22e1416","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.09"
"8c0a32ce-3d04-4c6b-8394-e1f1585404ab","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","210"
"266c9f95-18eb-4aa2-80ce-0d8ee6dc15d8","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.11"
"40a889ae-2623-4598-863b-88ee3900c8df","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.12"
"4ff3117f-df4e-4311-bd78-550ea4fc7f10","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.13"
"970f01d5-d3b0-43b3-9f9d-3870fdda94e0","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.14"
"0ffd0f4d-f32b-4d8c-9c88-fb7fa3aa2b73","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.15"
"e39697d9-110b-4d9e-9b7b-7850b73ab68b","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.16"
"71d35e58-504a-48e3-aa82-8fbd6a42f14e","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.17"
"ed9610ae-bfd5-442b-b790-193f24a13d50","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.18"
"3593b382-9ea8-4725-a31f-29f2aedc81d6","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.19"
"a81f6718-265a-4132-a3f6-ec3b095f8edb","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","220"
"cc92abe6-2b0e-44cf-8ce2-81df18680523","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.21"
"2a952290-824b-42e4-a1e2-fc8849ddda7b","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 2","2.22"
"77528d8b-5650-4670-aa8c-b2ef38ebae6d","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 3"
"cfa3fb4e-0bd3-4bfa-a61a-b130835c4bbb","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.01"
"9e098918-fd47-4346-8eda-c8b9f5ff386c","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.02"
"80dc8ad3-80bc-41e6-901d-d4023be9912a","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.03"
"2d0f5399-8ca5-4ce0-aef7-087726e5f1e7","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.04"
"452f7034-612e-460a-af7f-7e75396e7b23","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.05"
"029b96fc-2846-4384-a344-e0b63b4fce66","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.06"
"20ed800f-769f-4a9f-b305-ea76e05f0585","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.07"
"59b912e0-dac7-4af8-8eaf-b36c8acfc946","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.08"
"3be7da52-c050-4661-9d6d-df6a439e94d7","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.09"
"5f7355c8-bbcc-4acf-a27c-df0bba435c5a","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","310"
"97d7064e-3d99-4a0f-9ea7-d21bd4a14fed","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.11"
"d78aad4f-a8ea-4128-9bf0-2d296fc471fc","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.12"
"5675a6c2-e17a-42d2-8857-bf98941570c6","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.13"
"af30f311-fd25-4801-ac52-8a648d466128","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.14"
"b30ebd68-2eed-4b0d-b161-5de08932478e","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.15"
"a0687ec4-88ef-498a-89aa-747c9f182263","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.16"
"823a79e6-fde4-4d2f-91d7-e8f68da1c553","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.17"
"94162564-9268-447a-a974-c31907c698dd","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.18"
"ab2148b7-21f7-462b-aba3-508b4651f899","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.19"
"f8f1461a-f451-4588-b75f-b205a4e120b0","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","320"
"e3eef3ca-28ec-4015-a5c5-aa253fb1f67f","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.21"
"63270b42-0081-4ec9-a49c-12f11eb69085","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 3","3.22"
"a2419e89-55e3-4de8-bc2c-75b854049539","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 4"
"63f0fe18-6e85-4194-915a-651bc9ab0130","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.01"
"64a97c97-8307-4585-8204-dd3ad689fc6f","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.02"
"ad3edbf3-5ea9-4ec0-914f-9693eac9df78","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.03"
"dd60f32c-b280-45e0-9296-f4d7666773a7","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.05"
"219c86dc-19cc-4318-8924-3f5fcb687f12","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.06"
"e32e887d-9fcf-4e04-8b01-854f56d51233","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.07"
"34c0a453-6a46-491e-a587-a54863bb6360","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.08"
"0dbf00da-ce3f-4126-8009-188fe69ecad8","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.09"
"7f1f77b0-e008-41f3-af0c-2b0933fcc1b1","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","410"
"728fd9a3-e76b-4751-b6d3-222299578900","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.11"
"da4dcff8-0e0e-49f1-9307-7a22756d671d","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.12"
"a16111b9-5883-456b-b136-8e645e7a2951","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.13"
"3c66110f-aa6c-4a36-9392-ffd0cc774708","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.14"
"ff3a6a52-93e7-4cb3-b4ff-6bce01c27086","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.15"
"9e6ac410-f9f8-4342-8ab8-3ab24868836c","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.16"
"35447dbd-9dc6-48b3-a0e1-fcd76f7db2f2","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.17"
"0e555182-2ce1-44d3-b482-f838eb922cfe","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.18"
"443c053a-890a-4480-9d16-10874e8aead9","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.19"
"8091fe35-9be2-40c4-b8ef-79378994929c","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","420"
"6a2d1ace-53ba-46bd-9daa-34bfbd918527","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 4","4.21"
"91dcc33c-1ef6-4dcf-879d-92391c2c8f8d","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 5"
"c272701b-6ee8-4f89-8575-4b150caf6e04","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.01"
"32366869-1cb8-45ff-b56c-f748c0243740","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.02"
"e74c34e4-3004-44a1-b885-b6f77f26ce74","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.03"
"cff4a566-3f98-457a-bd64-167a2913c0a5","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.05"
"9c28982a-91a2-4a70-a082-ed4fb3676a8a","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.06"
"44fe8b49-09bf-4bc5-a1b5-a26c4caff0be","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.07"
"b42da11f-79cd-4abd-8ef5-66e9fe566124","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.08"
"a9f6fdab-ba8f-4fa4-a4e2-6682e64aaabf","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.09"
"9dc8d97b-6f61-4f55-987f-6a10c5a6c638","","checklist-flat","not-started","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","510"
"37cb81d9-a757-4b9b-b82d-3449c35f6950","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.11"
"265981c6-d9b2-42ff-b824-51f55a76ecda","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.12"
"4ebf376a-9df7-4b97-a021-e362c0acd5cd","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.13"
"ba21c956-3c29-41ca-9708-6e128ecbc233","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.14"
"205f8eaa-7841-426d-8442-4cc8ab56a7a5","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.15"
"26ee71c4-b134-45e3-8998-37a71c69f0e5","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.16"
"4c60af2f-a45b-4809-93a3-c93db068df61","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.17"
"3294526b-6f88-446e-95c1-52e334da19f6","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.18"
"ef1be0b7-0c98-443d-bd2b-36f7dbd57545","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","5.19"
"e496c92d-ae1d-4c2f-974a-d85848792a24","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 5","520"
"96d4c126-1285-4251-bc5b-4a4e339bd52f","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 6"
"09d06ad9-f909-4f25-919e-d4bdab7e0c77","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.01"
"98eec229-8b4c-4779-bb69-3f76ec803d1c","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.02"
"6ce40518-6cb2-4106-a4fc-120b5087e319","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.03"
"9c54752c-3bfb-4e8b-844e-85d05fa2ddc2","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.04"
"9f82e750-4209-42cf-95ed-e3dd0110f7f0","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.05"
"e73343f3-c45a-49de-9fe7-a926f097106d","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.06"
"694c8287-ef14-486f-8ae0-1b9f3106fb4c","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.07"
"56529937-c9d0-4dcb-a418-5fe4a2992dbf","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.08"
"1144932c-fc10-46f1-bb0a-2f0097cadb0f","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.09"
"fc944f28-71e1-416d-b726-37885de5e8f1","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","610"
"f45f5cc6-025d-4bde-a6b2-ba999c4a0008","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.11"
"d5a135fd-d904-422b-8f3e-002b64bd5daf","","checklist-flat","fail","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.12"
"0cddc921-e36d-4059-b057-637405e0d3ca","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.13"
"6924927e-d282-4700-b302-ce56035f8ec2","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 6","6.14"
"3626746c-10da-4a70-b22d-5169ffba19eb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough In","Apartment","Level 7"
"254f9734-8ef8-4a62-a1ee-458a9d3b0a96","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 7","7.01"
"23bd3463-2ae9-455a-90f8-3bbf7e9fdccc","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 7","7.02"
"f65ab911-593a-41a4-b1ff-b613e3951a06","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 7","7.03"
"57d1f1e3-3d33-4f69-8cf8-d3dfd47368ad","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 7","7.04"
"ff163f54-8778-42b1-bed9-aff704cb9801","","checklist-flat","work-in-progress","Apartments - Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Apartment","Level 7","7.05"
