Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,West Tower - Level 5,dynamic,Level 5,Site QA,West Tower
,,West Tower - Level 6,dynamic,Level 6,Site QA,West Tower
,,West Tower - Level 7,dynamic,Level 7,Site QA,West Tower
,,West Tower - Level 8,dynamic,Level 8,Site QA,West Tower
,,West Tower - Level 9,dynamic,Level 9,Site QA,West Tower
,,West Tower - Level 10,dynamic,Level 10,Site QA,West Tower
,,West Tower - Level 11,dynamic,Level 11,Site QA,West Tower
,,West Tower - Level 12,dynamic,Level 12,Site QA,West Tower
,,West Tower - Level 13,dynamic,Level 13,Site QA,West Tower
,,West Tower - Level 14,dynamic,Level 14,Site QA,West Tower
,,West Tower - Level 15,dynamic,Level 15,Site QA,West Tower
,,West Tower - Level 16,dynamic,Level 16,Site QA,West Tower
,,West Tower - Level 17,dynamic,Level 17,Site QA,West Tower
,,West Tower - Level 18,dynamic,Level 18,Site QA,West Tower
,,West Tower - Level 19,dynamic,Level 19,Site QA,West Tower
,,West Tower - Level 20,dynamic,Level 20,Site QA,West Tower
,,West Tower - Level 21,dynamic,Level 21,Site QA,West Tower
,,West Tower - Level 22,dynamic,Level 22,Site QA,West Tower
,,West Tower - Level 23,dynamic,Level 23,Site QA,West Tower
,,West Tower - Level 24,dynamic,Level 24,Site QA,West Tower
,,West Tower - Level 25,dynamic,Level 25,Site QA,West Tower
,,West Tower - Level 26,dynamic,Level 26,Site QA,West Tower
,,West Tower - Level 27,dynamic,Level 27,Site QA,West Tower
,,East Tower - Level 5,dynamic,Level 5,Site QA,East Tower
,,East Tower - Level 6,dynamic,Level 6,Site QA,East Tower
,,East Tower - Level 7,dynamic,Level 7,Site QA,East Tower
,,East Tower - Level 8,dynamic,Level 8,Site QA,East Tower
,,East Tower - Level 9,dynamic,Level 9,Site QA,East Tower
,,East Tower - Level 10,dynamic,Level 10,Site QA,East Tower
,,East Tower - Level 11,dynamic,Level 11,Site QA,East Tower
,,East Tower - Level 12,dynamic,Level 12,Site QA,East Tower
,,East Tower - Level 13,dynamic,Level 13,Site QA,East Tower
,,East Tower - Level 14,dynamic,Level 14,Site QA,East Tower
,,East Tower - Level 15,dynamic,Level 15,Site QA,East Tower
,,East Tower - Level 16,dynamic,Level 16,Site QA,East Tower
,,East Tower - Level 17,dynamic,Level 17,Site QA,East Tower
,,East Tower - Level 18,dynamic,Level 18,Site QA,East Tower
,,East Tower - Level 19,dynamic,Level 19,Site QA,East Tower
,,East Tower - Level 20,dynamic,Level 20,Site QA,East Tower
,,East Tower - Level 21,dynamic,Level 21,Site QA,East Tower
,,East Tower - Level 22,dynamic,Level 22,Site QA,East Tower
,,East Tower - Level 23,dynamic,Level 23,Site QA,East Tower
,,East Tower - Level 24,dynamic,Level 24,Site QA,East Tower
,,East Tower - Level 25,dynamic,Level 25,Site QA,East Tower
,,East Tower - Level 26,dynamic,Level 26,Site QA,East Tower
,,East Tower - Level 27,dynamic,Level 27,Site QA,East Tower
,Columns,,,,,
,,Lobby,,Lobby,,
,,"Kitchen, Lounge & Dining",,"Kitchen, Lounge & Dining",,
,,Bathroom & Laundry,,Bathroom & Laundry,,
,,External Wet Areas,,External Wet Areas,,
,,Roof,,Roof,,
