resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.10.13.1,,,
,step,,,,,,,Level 11,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.11.13.1,,,
,step,,,,,,,Level 12,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.12.13.1,,,
,step,,,,,,,Level 13,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.13.13.1,,,
,step,,,,,,,Level 14,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.14.13.1,,,
,step,,,,,,,Level 15,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.15.13.1,,,
,step,,,,,,,Level 16,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.16.13.1,,,
,step,,,,,,,Level 17,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.17.13.1,,,
,step,,,,,,,Level 18,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.18.13.1,,,
,step,,,,,,,Level 19,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.19.13.1,,,
,step,,,,,,,Level 20,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.20.13.1,,,
,step,,,,,,,Level 21,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.21.13.1,,,
,step,,,,,,,Level 22,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.22.13.1,,,
,step,,,,,,,Level 23,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.23.13.1,,,
,step,,,,,,,Level 24,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.24.13.1,,,
,step,,,,,,,Level 25,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.25.13.1,,,
,step,,,,,,,Level 26,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.26.13.1,,,
,step,,,,,,,Level 27,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.27.10.1,,,
,step,,,,,,,Level 28,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.28.08.1,,,
,step,,,,,,,Level 29,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.29.06.1,,,
,step,,,,,,,Level 30,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.30.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.30.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.30.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.30.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,1.30.05.1,,,
,step,,,,,,,Roof,,,,
AHU Fit Off (Auscool),checklist,,,,,,,,AHU-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,SPRF-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,SPF-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,EAF-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,CT-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,CDWPS-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,CDWPS-T1-31.02,,,
Fan Fit Off (Auscool),checklist,,,,,,,,CDWPS-T1-31.03,,,
Fan Fit Off (Auscool),checklist,,,,,,,,HHWG-T1-31.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,HHWG-T1-31.02,,,
,step,,,,,,Tower 2,,,,,
,step,,,,,,,Level 3,,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.01,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.02,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.03,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.04,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.05,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.06,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.07,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.08,,,
FCU Fit Off (Auscool),checklist,,,,,,,,FCU-T2-03.09,,,
Fan Fit Off (Auscool),checklist,,,,,,,,EAF-T2-03.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,TEF-T2-03.01,,,
Fan Fit Off (Auscool),checklist,,,,,,,,TEF-T2-03.02,,,
,step,,,,,,,Level 4,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.04.15.1,,,
,step,,,,,,,Level 5,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.05.15.1,,,
,step,,,,,,,Level 6,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.06.15.1,,,
,step,,,,,,,Level 7,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.07.15.1,,,
,step,,,,,,,Level 8,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.08.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.08.15.1,,,
,step,,,,,,,Level 9,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.04.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.05.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.06.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.07.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.09.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.10.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.11.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.12.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.13.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.14.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.09.15.1,,,
,step,,,,,,,Level 10,,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.10.01.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.10.02.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.10.03.1,,,
Apartment Fit Off (Auscool),checklist,,,,,,,,2.10.04.1,,,
