"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Switchboards"
,"Scope",,
,"Rows"
,,"Switchboards","dynamic","switchboards"
,"Columns"
,,"Fixings installed in wall correctly if board is wall mounted",,"fixings installed in wall correctly if board is wall mounted"
,,"All clearances sighted to ensure location is compliant",,"all clearances sighted to ensure location is compliant"
,,"All cables correctly installed in protection device and earth and neutral bars and fully secured",,"all cables correctly installed in protection device and earth and neutral bars and fully secured"
,,"Cables neatly dressed",,"cables neatly dressed"
,,"Phase tabs on chassy covered",,"phase tabs on chassy covered"
,,"All earths and neutrals labelled to match phase numbers",,"all earths and neutrals labelled to match phase numbers"
,,"Switchboard is clean on the inside and outside",,"switchboard is clean on the inside and outside"
,,"Masking blanks installed",,"masking blanks installed"
,,"Feisst label on the door installed",,"feisst label on the door installed"
,,"Switchboard Tested & Passed, results uploaded to drive via iPad",,"switchboard tested & passed, results uploaded to drive via ipad"
,,"DB legend installed",,"db legend installed"
,,"Photos",,"photos"

"Cable Tray"
,"Scope",,
,"Rows"
,,"Cable Tray","dynamic","cable tray"
,"Columns"
,,"Unistrutt Filled & Painted",,"unistrutt filled & painted"
,,"Hangers Spaced as Specified",,"hangers spaced as specified"
,,"Correct Size Tray Installed",,"correct size tray installed"
,,"Tray Joined Correctly",,"tray joined correctly"
,,"Hangers Seismic Restrained as per Design",,"hangers seismic restrained as per design"
,,"Tray Fastened to Hangers",,"tray fastened to hangers"
,,"Correct Anchors used fixing to Ceiling",,"correct anchors used fixing to ceiling"
,,"Cable Tray Bonded",,"cable tray bonded"
,,"Photos",,"photos"

"First Fix"
,"Scope",,
,"Rows"
,,"Lower Basement","dynamic","lower basement","first fix"
,,"Upper Basement","dynamic","upper basement","first fix"
,,"Ground Floor","dynamic","ground floor","first fix"
,,"Level 1 - Common Areas","dynamic","level 1","common areas","first fix"
,,"Level 1 - Apartment 01","dynamic","apartment 01","level 1","first fix"
,,"Level 1 - Apartment 02","dynamic","level 1","first fix","apartment 02"
,,"Level 1 - Apartment 03","dynamic","level 1","apartment 03","first fix"
,,"Level 1 - Apartment 04","dynamic","level 1","apartment 04","first fix"
,,"Level 1 - Apartment 05","dynamic","apartment 05","level 1","first fix"
,,"Level 1 - Apartment 06","dynamic","level 1","first fix","apartment 06"
,,"Level 1 - Apartment 07","dynamic","level 1","apartment 07","first fix"
,,"Level 1 - Apartment 08","dynamic","level 1","apartment 08","first fix"
,,"Level 1 - Apartment 09","dynamic","apartment 09","level 1","first fix"
,,"Level 1 - Apartment 10","dynamic","level 1","apartment 10","first fix"
,,"Level 1 - Apartment 11","dynamic","level 1","apartment 11","first fix"
,,"Level 1 - Apartment 12","dynamic","apartment 12","level 1","first fix"
,,"Level 1 - Apartment 13","dynamic","level 1","first fix","apartment 13"
,,"Level 2 - Common Areas","dynamic","common areas","level 2","first fix"
,,"Level 2 - Apartment 01","dynamic","apartment 01","level 2","first fix"
,,"Level 2 - Apartment 02","dynamic","level 2","first fix","apartment 02"
,,"Level 2 - Apartment 03","dynamic","level 2","apartment 03","first fix"
,,"Level 2 - Apartment 04","dynamic","apartment 04","level 2","first fix"
,,"Level 2 - Apartment 05","dynamic","apartment 05","level 2","first fix"
,,"Level 2 - Apartment 06","dynamic","level 2","first fix","apartment 06"
,,"Level 2 - Apartment 07","dynamic","level 2","apartment 07","first fix"
,,"Level 2 - Apartment 08","dynamic","apartment 08","level 2","first fix"
,,"Level 2 - Apartment 09","dynamic","apartment 09","level 2","first fix"
,,"Level 2 - Apartment 10","dynamic","level 2","apartment 10","first fix"
