"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Matrix"
,"Scope",,
,"Rows"
,,"September 23, 2024 - September 27, 2024","dynamic","september 23, 2024 - september 27, 2024"
,,"September 30, 2024 - October 4, 2024","dynamic","september 30, 2024 - october 4, 2024"
,,"October 7, 2024 - October 11, 2024","dynamic","october 7, 2024 - october 11, 2024"
,,"October 14, 2024 - October 18, 2024","dynamic","october 14, 2024 - october 18, 2024"
,,"October 21, 2024 - October 25, 2024","dynamic","october 21, 2024 - october 25, 2024"
,,"October 28, 2024 - November 1, 2024","dynamic","october 28, 2024 - november 1, 2024"
,,"November 4, 2024 - November 8, 2024","dynamic","november 4, 2024 - november 8, 2024"
,,"November 11, 2024 - November 15, 2024","dynamic","november 11, 2024 - november 15, 2024"
,,"November 18, 2024 - November 22, 2024","dynamic","november 18, 2024 - november 22, 2024"
,,"November 25, 2024 - November 29, 2024","dynamic","november 25, 2024 - november 29, 2024"
,,"December 2, 2024 - December 6, 2024","dynamic","december 2, 2024 - december 6, 2024"
,,"December 9, 2024 - December 13, 2024","dynamic","december 9, 2024 - december 13, 2024"
,,"December 16, 2024 - December 20, 2024","dynamic","december 16, 2024 - december 20, 2024"
,,"December 23, 2024 - December 27, 2024","dynamic","december 23, 2024 - december 27, 2024"
,,"December 30, 2024 - January 3, 2025","dynamic","december 30, 2024 - january 3, 2025"
,,"September 16, 2024 - September 20, 2024","dynamic","september 16, 2024 - september 20, 2024"
,,"January 6, 2025 - January 10, 2025","dynamic","january 6, 2025 - january 10, 2025"
,,"January 13, 2025 - January 17, 2025","dynamic","january 13, 2025 - january 17, 2025"
,,"January 20, 2025 - January 24, 2025","dynamic","january 20, 2025 - january 24, 2025"
,,"January 27, 2025 - January 31, 2025","dynamic","january 27, 2025 - january 31, 2025"
,,"February 3, 2025 - February 7, 2025","dynamic","february 3, 2025 - february 7, 2025"
,,"February 10, 2025 - February 14, 2025","dynamic","february 10, 2025 - february 14, 2025"
,,"February 17, 2025 - February 21, 2025","dynamic","february 17, 2025 - february 21, 2025"
,,"February 24, 2025 - February 28, 2025","dynamic","february 24, 2025 - february 28, 2025"
,,"March 3, 2025 - March 7, 2025","dynamic","march 3, 2025 - march 7, 2025"
,,"March 10, 2025 - March 14, 2025","dynamic","march 10, 2025 - march 14, 2025"
,,"March 17, 2025 - March 21, 2025","dynamic","march 17, 2025 - march 21, 2025"
,,"March 24, 2025 - March 28, 2025","dynamic","march 24, 2025 - march 28, 2025"
,,"March 31, 2025 - April 4, 2025","dynamic","march 31, 2025 - april 4, 2025"
,,"April 7, 2025 - April 11, 2025","dynamic","april 7, 2025 - april 11, 2025"
,,"April 14, 2025 - April 18, 2025","dynamic","april 14, 2025 - april 18, 2025"
,,"April 21, 2025 - April 25, 2025","dynamic","april 21, 2025 - april 25, 2025"
,,"April 28, 2025 - May 2, 2025","dynamic","april 28, 2025 - may 2, 2025"
,,"May 5, 2025 - May 9, 2025","dynamic","may 5, 2025 - may 9, 2025"
,,"May 12, 2025 - May 16, 2025","dynamic","may 12, 2025 - may 16, 2025"
,,"May 19, 2025 - May 23, 2025","dynamic","may 19, 2025 - may 23, 2025"
,,"May 26, 2025 - May 30, 2025","dynamic","may 26, 2025 - may 30, 2025"
