Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Waterproofing ITP,,,,,Yes,Waterproofing ITP,d0091b1e-c54a-4015-a106-27a74ef186ea
checkpoint-group,,,section,Details,,,,,,,
checkpoint-status,,,checkpoint,"1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed.",,,,,,,
label,5d702f9d-684c-598b-8430-5dc465d6d5eb,,note,Inspection: visual,,,,,,,
select,db2ddc75-68fa-5485-a748-359cd266fccd,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,"2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework",,,,,,,
select,9a24872e-67fc-5d8b-9fb8-ace62e09abcd,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings,,,,,,,
label,04d4893d-d7d5-5b57-b5af-dcbdb07e7258,,note,Inspection: visual,,,,,,,
select,cfd823df-162c-545c-b645-9ae2286b279b,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,"4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework",,,,,,,
label,df61755c-5329-529d-83f5-8b0396a434c6,,note,Inspection: visual,,,,,,,
select,91c691ba-cec6-5dde-bb6e-cd72f1dee922,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity.,,,,,,,
label,a3e73821-e83c-5336-b7c7-fbcccc2b684b,,note,Inspection: visual,,,,,,,
select,d83a705e-8bb1-567e-9030-9ce9d2aa537a,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,6. 24hr Curing (Typical*),,,,,,,
label,f49180ce-6566-5051-8313-4f33a6d17608,,note,Inspection: visual and touch,,,,,,,
select,1d7f4e7c-fb9f-57c0-8621-a569b557f2fd,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,7. 2nd Coat Keratrade WPM applied,,,,,,,
label,7161b771-1ded-5577-9d84-6a488390f599,,note,Inspection: visual,,,,,,,
select,c989a5c6-4350-5e29-8a9d-4df8e2effccc,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,8. 48hr Curing (Typical*),,,,,,,
label,61763c48-5054-53eb-af25-1b6dd6a63911,,note,Inspection: visual and touch,,,,,,,
select,e9ccea09-06b2-5ffd-b375-1adc8b049ad4,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,9. Dry Film Thickness (DFT) Test completed Wall min 0.6mm,,,,,,,
label,97dc0b9c-57db-5543-8464-6a3a646b6814,,note,Inspection: electronic testing,,,,,,,
select,9a726ffa-2e9a-5823-be4a-c7d1ebbaa6d4,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,9. Dry Film Thickness (DFT) Test completed Floor 0.9mm,,,,,,,
label,,,note,Inspection: electronic testing,,,,,,,
select,,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,10. 24hr Water Test,,,,,,,
label,7d5a94ef-a5ea-5c95-acc8-dc2ca3ac17e5,,note,Inspection: visual and marker,,,,,,,
select,6385d37b-d1d8-534a-8fbb-9a7a98dd6177,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,11. Final Water Test Measure Completed - AS3740-2010,,,,,,,
label,55f0372a-23cb-5f63-bc31-e8673c37d9c8,,note,Inspection: visual,,,,,,,
select,6c343cac-1d0e-5a1f-a925-0e606e87f92f,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
checkpoint-status,,,checkpoint,12. Drain Down by waterproof installer,,,,,,,
label,0028866e-8d03-554e-8b69-b65218c5f9b2,,note,Inspection: visual,,,,,,,
select,750c7497-8adc-5eeb-8c43-39a412856d47,,dropdown,Inspected By:,"Minjeong Hong,Hwanho Chung,Caspar Chong,Philip Chong,Mario Denaro,Bol Ajak,Ji Kang",,,,,,
holdpoint,,,signoff,13. Waterproof installer to check / provide go ahead,,,,,,,
checkpoint-group,,,section,14. RECTIFICATION ITEMS,,,,,,,
checkpoint-status,,,checkpoint,RECTIFICATION ITEMS,,,,,,,
checkpoint-status,,,checkpoint,15. Area Handover to Tiler,,,,,,,
holdpoint,,,signoff,Verify with Tiler,,,,,,,
checkpoint-group,,,section,17. QUALITY ASSURANCE FROM BUILDER,,,,,,,
checkpoint-status,,,checkpoint,Quality Assurance from Builder,,,,,,,
checkpoint-group,,,section,18. FINAL INSPECTION,,,,,,,
checkpoint-status,,,checkpoint,Final Inspection (1),,,,,,,
text,1220de3b-a6dd-5366-a34a-b515a67aa4de,,textbox,Position:,,,,,,,
date,018eeac7-da99-577d-bc09-ca896d34d96b,,date,Date:,,,,,,,
holdpoint,,,signoff,Prepared By:,,,,,,,
checkpoint-status,,,checkpoint,Final Inspection (2),,,,,,,
text,9e4f22b3-1e28-5cee-a37c-8faead718427,,textbox,Position:,,,,,,,
holdpoint,,,signoff,Approved By:,,,,,,,
