"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Apartment Rough In ITP"
,"Scope",,,"site qa","rough in"
,"Rows"
,,"RAC (Residential Aged Care)","grouping","rac (residential aged care)"
,,"Level 1 - Bed B0101",,"site qa","bed b0101","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0102",,"bed b0102","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0103",,"bed b0103","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0104",,"site qa","level 1","bed b0104","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0105",,"site qa","level 1","rough in","rac (residential aged care)","bed b0105"
,,"Level 1 - Bed B0106",,"site qa","bed b0106","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0107",,"site qa","level 1","bed b0107","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0108",,"bed b0108","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0109",,"site qa","bed b0109","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0110",,"site qa","level 1","bed b0110","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0111",,"bed b0111","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0112",,"site qa","bed b0112","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0113",,"bed b0113","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0114",,"bed b0114","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0115",,"site qa","level 1","bed b0115","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0116",,"site qa","level 1","rough in","rac (residential aged care)","bed b0116"
,,"Level 1 - Bed B0117",,"site qa","bed b0117","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0118",,"site qa","level 1","bed b0118","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0119",,"bed b0119","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0120",,"site qa","bed b0120","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0121",,"site qa","level 1","bed b0121","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0122",,"bed b0122","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0123",,"site qa","bed b0123","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0124",,"bed b0124","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0125",,"bed b0125","site qa","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0126",,"site qa","level 1","bed b0126","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0127",,"site qa","level 1","rough in","rac (residential aged care)","bed b0127"
,,"Level 1 - Bed B0128",,"site qa","bed b0128","level 1","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0129",,"site qa","level 1","bed b0129","rough in","rac (residential aged care)"
,,"Level 1 - Bed B0130",,"site qa","level 1","rough in","rac (residential aged care)","bed b0130"
,,"Level 1 - BOH B0134",,"site qa","boh b0134","level 1","rough in","rac (residential aged care)"
,,"Level 2 - Bed B0201",,"bed b0201","site qa","level 2","rough in","rac (residential aged care)"
,,"Level 2 - Bed B0202",,"bed b0202","site qa","level 2","rough in","rac (residential aged care)"
,,"Level 2 - Bed B0203",,"site qa","level 2","bed b0203","rough in","rac (residential aged care)"
,,"Level 2 - Bed B0204",,"site qa","level 2","rough in","rac (residential aged care)","bed b0204"
